P0 1000.0
u0 1000.0
v0 0.0
T0 300.0
gam 1.4
accur 0
iaxi 1
ivisc 0
niter 100000
cfl 0.1
tol 0.000001
printiter 1
saveiter 1000
damp 0.9
duscale 0.5
mxangle (not imp)0.0
==================== Loading Mesh ====================
Reading Mesh File..... 
::  0:: Scanning Headers
::  0:: (nx,ny)=(121, 81), Now Scanning Nodes....
::  0:: Scanning BCs
Reading Block Connectivity File..... 
::  0:: opened conn file 
::  0::Calculating Grid Metrics..... 
==================== Initializing ====================
===== Generating Mesh and Initial State Tecplot Files ====
==================== Starting Solver ====================
Iter:    207	dt:4.6378e-08 		 RelativeTotalResisual:  5.72260e-01 
Iter:    208	dt:4.6378e-08 		 RelativeTotalResisual:  5.71462e-01 
Iter:    209	dt:4.6378e-08 		 RelativeTotalResisual:  5.70669e-01 
Iter:    210	dt:4.6378e-08 		 RelativeTotalResisual:  5.69882e-01 
Iter:    211	dt:4.6378e-08 		 RelativeTotalResisual:  5.69100e-01 
Iter:    212	dt:4.6378e-08 		 RelativeTotalResisual:  5.68324e-01 
Iter:    213	dt:4.6378e-08 		 RelativeTotalResisual:  5.67553e-01 
Iter:    214	dt:4.6378e-08 		 RelativeTotalResisual:  5.66787e-01 
Iter:    215	dt:4.6378e-08 		 RelativeTotalResisual:  5.66026e-01 
Iter:    216	dt:4.6378e-08 		 RelativeTotalResisual:  5.65271e-01 
Iter:    217	dt:4.6378e-08 		 RelativeTotalResisual:  5.64521e-01 
Iter:    218	dt:4.6378e-08 		 RelativeTotalResisual:  5.63776e-01 
Iter:    219	dt:4.6378e-08 		 RelativeTotalResisual:  5.63036e-01 
Iter:    220	dt:4.6378e-08 		 RelativeTotalResisual:  5.62300e-01 
Iter:    221	dt:4.6378e-08 		 RelativeTotalResisual:  5.61570e-01 
Iter:    222	dt:4.6378e-08 		 RelativeTotalResisual:  5.60845e-01 
Iter:    223	dt:4.6378e-08 		 RelativeTotalResisual:  5.60125e-01 
Iter:    224	dt:4.6378e-08 		 RelativeTotalResisual:  5.59409e-01 
Iter:    225	dt:4.6378e-08 		 RelativeTotalResisual:  5.58698e-01 
Iter:    226	dt:4.6378e-08 		 RelativeTotalResisual:  5.57992e-01 
Iter:    227	dt:4.6378e-08 		 RelativeTotalResisual:  5.57291e-01 
Iter:    228	dt:4.6378e-08 		 RelativeTotalResisual:  5.56594e-01 
Iter:    229	dt:4.6378e-08 		 RelativeTotalResisual:  5.55902e-01 
Iter:    230	dt:4.6378e-08 		 RelativeTotalResisual:  5.55214e-01 
Iter:    231	dt:4.6378e-08 		 RelativeTotalResisual:  5.54531e-01 
Iter:    232	dt:4.6378e-08 		 RelativeTotalResisual:  5.53852e-01 
Iter:    233	dt:4.6378e-08 		 RelativeTotalResisual:  5.53178e-01 
Iter:    234	dt:4.6378e-08 		 RelativeTotalResisual:  5.52508e-01 
Iter:    235	dt:4.6378e-08 		 RelativeTotalResisual:  5.51843e-01 
Iter:    236	dt:4.6378e-08 		 RelativeTotalResisual:  5.51182e-01 
Iter:    237	dt:4.6378e-08 		 RelativeTotalResisual:  5.50525e-01 
Iter:    238	dt:4.6378e-08 		 RelativeTotalResisual:  5.49872e-01 
Iter:    239	dt:4.6378e-08 		 RelativeTotalResisual:  5.49223e-01 
Iter:    240	dt:4.6378e-08 		 RelativeTotalResisual:  5.48579e-01 
Iter:    241	dt:4.6378e-08 		 RelativeTotalResisual:  5.47939e-01 
Iter:    242	dt:4.6378e-08 		 RelativeTotalResisual:  5.47302e-01 
Iter:    243	dt:4.6378e-08 		 RelativeTotalResisual:  5.46670e-01 
Iter:    244	dt:4.6378e-08 		 RelativeTotalResisual:  5.46042e-01 
Iter:    245	dt:4.6378e-08 		 RelativeTotalResisual:  5.45418e-01 
Iter:    246	dt:4.6378e-08 		 RelativeTotalResisual:  5.44797e-01 
Iter:    247	dt:4.6378e-08 		 RelativeTotalResisual:  5.44181e-01 
Iter:    248	dt:4.6378e-08 		 RelativeTotalResisual:  5.43568e-01 
Iter:    249	dt:4.6378e-08 		 RelativeTotalResisual:  5.42960e-01 
Iter:    250	dt:4.6378e-08 		 RelativeTotalResisual:  5.42355e-01 
Iter:    251	dt:4.6378e-08 		 RelativeTotalResisual:  5.41753e-01 
Iter:    252	dt:4.6378e-08 		 RelativeTotalResisual:  5.41156e-01 
Iter:    253	dt:4.6378e-08 		 RelativeTotalResisual:  5.40562e-01 
Iter:    254	dt:4.6378e-08 		 RelativeTotalResisual:  5.39972e-01 
Iter:    255	dt:4.6378e-08 		 RelativeTotalResisual:  5.39385e-01 
Iter:    256	dt:4.6378e-08 		 RelativeTotalResisual:  5.38802e-01 
Iter:    257	dt:4.6378e-08 		 RelativeTotalResisual:  5.38223e-01 
Iter:    258	dt:4.6378e-08 		 RelativeTotalResisual:  5.37647e-01 
Iter:    259	dt:4.6378e-08 		 RelativeTotalResisual:  5.37074e-01 
Iter:    260	dt:4.6378e-08 		 RelativeTotalResisual:  5.36505e-01 
Iter:    261	dt:4.6378e-08 		 RelativeTotalResisual:  5.35940e-01 
Iter:    262	dt:4.6378e-08 		 RelativeTotalResisual:  5.35377e-01 
Iter:    263	dt:4.6378e-08 		 RelativeTotalResisual:  5.34819e-01 
Iter:    264	dt:4.6378e-08 		 RelativeTotalResisual:  5.34263e-01 
Iter:    265	dt:4.6378e-08 		 RelativeTotalResisual:  5.33711e-01 
Iter:    266	dt:4.6378e-08 		 RelativeTotalResisual:  5.33162e-01 
Iter:    267	dt:4.6378e-08 		 RelativeTotalResisual:  5.32616e-01 
Iter:    268	dt:4.6378e-08 		 RelativeTotalResisual:  5.32074e-01 
Iter:    269	dt:4.6378e-08 		 RelativeTotalResisual:  5.31534e-01 
Iter:    270	dt:4.6378e-08 		 RelativeTotalResisual:  5.30998e-01 
Iter:    271	dt:4.6378e-08 		 RelativeTotalResisual:  5.30465e-01 
Iter:    272	dt:4.6378e-08 		 RelativeTotalResisual:  5.29935e-01 
Iter:    273	dt:4.6378e-08 		 RelativeTotalResisual:  5.29409e-01 
Iter:    274	dt:4.6378e-08 		 RelativeTotalResisual:  5.28885e-01 
Iter:    275	dt:4.6378e-08 		 RelativeTotalResisual:  5.28364e-01 
Iter:    276	dt:4.6378e-08 		 RelativeTotalResisual:  5.27846e-01 
Iter:    277	dt:4.6378e-08 		 RelativeTotalResisual:  5.27332e-01 
Iter:    278	dt:4.6378e-08 		 RelativeTotalResisual:  5.26820e-01 
Iter:    279	dt:4.6378e-08 		 RelativeTotalResisual:  5.26311e-01 
Iter:    280	dt:4.6378e-08 		 RelativeTotalResisual:  5.25805e-01 
Iter:    281	dt:4.6378e-08 		 RelativeTotalResisual:  5.25302e-01 
Iter:    282	dt:4.6378e-08 		 RelativeTotalResisual:  5.24802e-01 
Iter:    283	dt:4.6378e-08 		 RelativeTotalResisual:  5.24304e-01 
Iter:    284	dt:4.6378e-08 		 RelativeTotalResisual:  5.23810e-01 
Iter:    285	dt:4.6378e-08 		 RelativeTotalResisual:  5.23318e-01 
Iter:    286	dt:4.6378e-08 		 RelativeTotalResisual:  5.22829e-01 
Iter:    287	dt:4.6378e-08 		 RelativeTotalResisual:  5.22342e-01 
Iter:    288	dt:4.6378e-08 		 RelativeTotalResisual:  5.21859e-01 
Iter:    289	dt:4.6378e-08 		 RelativeTotalResisual:  5.21378e-01 
Iter:    290	dt:4.6378e-08 		 RelativeTotalResisual:  5.20899e-01 
Iter:    291	dt:4.6378e-08 		 RelativeTotalResisual:  5.20424e-01 
Iter:    292	dt:4.6378e-08 		 RelativeTotalResisual:  5.19950e-01 
Iter:    293	dt:4.6378e-08 		 RelativeTotalResisual:  5.19480e-01 
Iter:    294	dt:4.6378e-08 		 RelativeTotalResisual:  5.19012e-01 
Iter:    295	dt:4.6378e-08 		 RelativeTotalResisual:  5.18547e-01 
Iter:    296	dt:4.6378e-08 		 RelativeTotalResisual:  5.18084e-01 
Iter:    297	dt:4.6378e-08 		 RelativeTotalResisual:  5.17623e-01 
Iter:    298	dt:4.6378e-08 		 RelativeTotalResisual:  5.17166e-01 
Iter:    299	dt:4.6378e-08 		 RelativeTotalResisual:  5.16710e-01 
Iter:    300	dt:4.6378e-08 		 RelativeTotalResisual:  5.16257e-01 
Iter:    301	dt:4.6378e-08 		 RelativeTotalResisual:  5.15807e-01 
Iter:    302	dt:4.6378e-08 		 RelativeTotalResisual:  5.15359e-01 
Iter:    303	dt:4.6378e-08 		 RelativeTotalResisual:  5.14913e-01 
Iter:    304	dt:4.6378e-08 		 RelativeTotalResisual:  5.14469e-01 
Iter:    305	dt:4.6378e-08 		 RelativeTotalResisual:  5.14028e-01 
Iter:    306	dt:4.6378e-08 		 RelativeTotalResisual:  5.13590e-01 
Iter:    307	dt:4.6378e-08 		 RelativeTotalResisual:  5.13153e-01 
Iter:    308	dt:4.6378e-08 		 RelativeTotalResisual:  5.12719e-01 
Iter:    309	dt:4.6378e-08 		 RelativeTotalResisual:  5.12287e-01 
Iter:    310	dt:4.6378e-08 		 RelativeTotalResisual:  5.11858e-01 
Iter:    311	dt:4.6378e-08 		 RelativeTotalResisual:  5.11430e-01 
