==================== Loading Mesh ====================
Reading Mesh File..... 
::  0:: Scanning Headers
::  0:: (nx,ny)=(140, 41), Now Scanning Nodes....
::  0:: Scanning BCs
Reading Block Connectivity File..... 
::  0:: opened conn file 
::  0::Calculating Grid Metrics..... 
==================== Initializing ====================
===== Generating Mesh and Initial State Tecplot Files ====
==================== Starting Solver ====================
Iter:    101	dt:2.6198e-07 		 RelativeTotalResisual:  8.07402e-01 	 damp:0.950000, duscale:0.700000
Iter:    102	dt:2.6388e-07 		 RelativeTotalResisual:  8.34140e-01 	 damp:0.950000, duscale:0.700000
Iter:    103	dt:2.6521e-07 		 RelativeTotalResisual:  8.60305e-01 	 damp:0.950000, duscale:0.700000
Iter:    104	dt:2.6519e-07 		 RelativeTotalResisual:  8.82491e-01 	 damp:0.950000, duscale:0.700000
Iter:    105	dt:2.6321e-07 		 RelativeTotalResisual:  8.98721e-01 	 damp:0.950000, duscale:0.700000
Iter:    106	dt:2.5947e-07 		 RelativeTotalResisual:  9.08945e-01 	 damp:0.950000, duscale:0.700000
Iter:    107	dt:2.5467e-07 		 RelativeTotalResisual:  9.14788e-01 	 damp:0.950000, duscale:0.700000
Iter:    108	dt:2.4978e-07 		 RelativeTotalResisual:  9.13671e-01 	 damp:0.950000, duscale:0.700000
Iter:    109	dt:2.4540e-07 		 RelativeTotalResisual:  9.10448e-01 	 damp:0.950000, duscale:0.700000
Iter:    110	dt:2.4184e-07 		 RelativeTotalResisual:  9.10035e-01 	 damp:0.950000, duscale:0.700000
Iter:    111	dt:2.3921e-07 		 RelativeTotalResisual:  9.13535e-01 	 damp:0.950000, duscale:0.700000
Iter:    112	dt:2.3752e-07 		 RelativeTotalResisual:  9.20624e-01 	 damp:0.950000, duscale:0.700000
Iter:    113	dt:2.3666e-07 		 RelativeTotalResisual:  9.31286e-01 	 damp:0.950000, duscale:0.700000
Iter:    114	dt:2.3648e-07 		 RelativeTotalResisual:  9.42923e-01 	 damp:0.950000, duscale:0.700000
Iter:    115	dt:2.3680e-07 		 RelativeTotalResisual:  9.55770e-01 	 damp:0.950000, duscale:0.700000
Iter:    116	dt:2.3745e-07 		 RelativeTotalResisual:  9.67187e-01 	 damp:0.950000, duscale:0.700000
Iter:    117	dt:2.3807e-07 		 RelativeTotalResisual:  9.79307e-01 	 damp:0.950000, duscale:0.700000
Iter:    118	dt:2.3866e-07 		 RelativeTotalResisual:  9.93840e-01 	 damp:0.950000, duscale:0.700000
Iter:    119	dt:2.3910e-07 		 RelativeTotalResisual:  1.00887e+00 	 damp:0.950000, duscale:0.700000
Iter:    120	dt:2.3947e-07 		 RelativeTotalResisual:  1.02328e+00 	 damp:0.950000, duscale:0.700000
Iter:    121	dt:2.4002e-07 		 RelativeTotalResisual:  1.03570e+00 	 damp:0.950000, duscale:0.700000
Iter:    122	dt:2.4067e-07 		 RelativeTotalResisual:  1.04641e+00 	 damp:0.950000, duscale:0.700000
Iter:    123	dt:2.4126e-07 		 RelativeTotalResisual:  1.05655e+00 	 damp:0.950000, duscale:0.700000
Iter:    124	dt:2.4178e-07 		 RelativeTotalResisual:  1.06616e+00 	 damp:0.950000, duscale:0.700000
Iter:    125	dt:2.4220e-07 		 RelativeTotalResisual:  1.07443e+00 	 damp:0.950000, duscale:0.700000
Iter:    126	dt:2.4262e-07 		 RelativeTotalResisual:  1.08167e+00 	 damp:0.950000, duscale:0.700000
Iter:    127	dt:2.4317e-07 		 RelativeTotalResisual:  1.08723e+00 	 damp:0.950000, duscale:0.700000
Iter:    128	dt:2.4396e-07 		 RelativeTotalResisual:  1.08937e+00 	 damp:0.950000, duscale:0.700000
Iter:    129	dt:2.4505e-07 		 RelativeTotalResisual:  1.08962e+00 	 damp:0.950000, duscale:0.700000
Iter:    130	dt:2.4646e-07 		 RelativeTotalResisual:  1.08589e+00 	 damp:0.950000, duscale:0.700000
Iter:    131	dt:2.4812e-07 		 RelativeTotalResisual:  1.07940e+00 	 damp:0.950000, duscale:0.700000
Iter:    132	dt:2.4981e-07 		 RelativeTotalResisual:  1.07019e+00 	 damp:0.950000, duscale:0.700000
Iter:    133	dt:2.5125e-07 		 RelativeTotalResisual:  1.06001e+00 	 damp:0.950000, duscale:0.700000
Iter:    134	dt:2.5229e-07 		 RelativeTotalResisual:  1.04797e+00 	 damp:0.950000, duscale:0.700000
Iter:    135	dt:2.5299e-07 		 RelativeTotalResisual:  1.03715e+00 	 damp:0.950000, duscale:0.700000
Iter:    136	dt:2.5349e-07 		 RelativeTotalResisual:  1.02776e+00 	 damp:0.950000, duscale:0.700000
Iter:    137	dt:2.5390e-07 		 RelativeTotalResisual:  1.01892e+00 	 damp:0.950000, duscale:0.700000
Iter:    138	dt:2.5428e-07 		 RelativeTotalResisual:  1.01435e+00 	 damp:0.950000, duscale:0.700000
Iter:    139	dt:2.5464e-07 		 RelativeTotalResisual:  1.01063e+00 	 damp:0.950000, duscale:0.700000
Iter:    140	dt:2.5499e-07 		 RelativeTotalResisual:  1.01157e+00 	 damp:0.950000, duscale:0.700000
Iter:    141	dt:2.5533e-07 		 RelativeTotalResisual:  1.01333e+00 	 damp:0.950000, duscale:0.700000
Iter:    142	dt:2.5564e-07 		 RelativeTotalResisual:  1.01641e+00 	 damp:0.950000, duscale:0.700000
Iter:    143	dt:2.5593e-07 		 RelativeTotalResisual:  1.02096e+00 	 damp:0.950000, duscale:0.700000
Iter:    144	dt:2.5619e-07 		 RelativeTotalResisual:  1.02573e+00 	 damp:0.950000, duscale:0.700000
Iter:    145	dt:2.5643e-07 		 RelativeTotalResisual:  1.03066e+00 	 damp:0.950000, duscale:0.700000
Iter:    146	dt:2.5668e-07 		 RelativeTotalResisual:  1.03330e+00 	 damp:0.950000, duscale:0.700000
Iter:    147	dt:2.5697e-07 		 RelativeTotalResisual:  1.03269e+00 	 damp:0.950000, duscale:0.700000
Iter:    148	dt:2.5734e-07 		 RelativeTotalResisual:  1.03251e+00 	 damp:0.950000, duscale:0.700000
Iter:    149	dt:2.5778e-07 		 RelativeTotalResisual:  1.03166e+00 	 damp:0.950000, duscale:0.700000
Iter:    150	dt:2.5828e-07 		 RelativeTotalResisual:  1.02740e+00 	 damp:0.950000, duscale:0.700000
Iter:    151	dt:2.5879e-07 		 RelativeTotalResisual:  1.02123e+00 	 damp:0.950000, duscale:0.700000
Iter:    152	dt:2.5930e-07 		 RelativeTotalResisual:  1.01341e+00 	 damp:0.950000, duscale:0.700000
Iter:    153	dt:2.5979e-07 		 RelativeTotalResisual:  1.00606e+00 	 damp:0.950000, duscale:0.700000
Iter:    154	dt:2.6025e-07 		 RelativeTotalResisual:  9.98454e-01 	 damp:0.950000, duscale:0.700000
Iter:    155	dt:2.6067e-07 		 RelativeTotalResisual:  9.92185e-01 	 damp:0.950000, duscale:0.700000
Iter:    156	dt:2.6107e-07 		 RelativeTotalResisual:  9.85458e-01 	 damp:0.950000, duscale:0.700000
Iter:    157	dt:2.6148e-07 		 RelativeTotalResisual:  9.80847e-01 	 damp:0.950000, duscale:0.700000
Iter:    158	dt:2.6189e-07 		 RelativeTotalResisual:  9.75043e-01 	 damp:0.950000, duscale:0.700000
Iter:    159	dt:2.6233e-07 		 RelativeTotalResisual:  9.71626e-01 	 damp:0.950000, duscale:0.700000
Iter:    160	dt:2.6281e-07 		 RelativeTotalResisual:  9.70488e-01 	 damp:0.950000, duscale:0.700000
Iter:    161	dt:2.6331e-07 		 RelativeTotalResisual:  9.68792e-01 	 damp:0.950000, duscale:0.700000
Iter:    162	dt:2.6382e-07 		 RelativeTotalResisual:  9.69240e-01 	 damp:0.950000, duscale:0.700000
Iter:    163	dt:2.6429e-07 		 RelativeTotalResisual:  9.68199e-01 	 damp:0.950000, duscale:0.700000
Iter:    164	dt:2.6466e-07 		 RelativeTotalResisual:  9.70979e-01 	 damp:0.950000, duscale:0.700000
Iter:    165	dt:2.6486e-07 		 RelativeTotalResisual:  9.78029e-01 	 damp:0.950000, duscale:0.700000
Iter:    166	dt:2.6486e-07 		 RelativeTotalResisual:  9.84127e-01 	 damp:0.950000, duscale:0.700000
Iter:    167	dt:2.6461e-07 		 RelativeTotalResisual:  9.91455e-01 	 damp:0.950000, duscale:0.700000
Iter:    168	dt:2.6411e-07 		 RelativeTotalResisual:  9.97255e-01 	 damp:0.950000, duscale:0.700000
Iter:    169	dt:2.6338e-07 		 RelativeTotalResisual:  1.00484e+00 	 damp:0.950000, duscale:0.700000
Iter:    170	dt:2.6249e-07 		 RelativeTotalResisual:  1.01386e+00 	 damp:0.950000, duscale:0.700000
